PostDate,ContentType,Likes,Comments,Views,ContentTheme,Caption
08-06-2025,Post,16,0,,Training,"𝐄𝐥𝐞𝐯𝐚𝐭𝐢𝐧𝐠 𝐎𝐮𝐫 𝐂𝐮𝐬𝐭𝐨𝐦𝐞𝐫 𝐂𝐚𝐫𝐞!
As part of Soft Skill Training initiative, Grande International Hospital is dedicated to empowering our staff. In this series, Ms. Archana Pradhan, AGM of Operations & Business Development, conducted a valuable training session on Grooming and Personality Building. We're committed to enhancing our team’s skills to provide exceptional service and create a welcoming environment for all !"
02-06-2025,Post,29,0,,Training,"Enhancing Communication Skills! As part of our soft skills training for staff, Ms. LD Maharjan, our Nursing Director, led an insightful session on Health Communication. Together, we are committed to improving our communication skills to better serve our patients and enhance"
01-06-2025,Image,6,0,,Announcement,"𝐆𝐫𝐚𝐧𝐝𝐞 𝐋𝐞𝐜𝐭𝐮𝐫𝐞
We are pleased to announce the next episode of Grande Lecture. Prof Dr Prem Raj Gyawali, Chief Consultant Urologist & Kidney Transplant Surgeon will be delivering his insightful presentation. Topic of presentation will be :
"" 𝟏𝟗𝟑𝟔 𝐃𝐚𝐲𝐬 """
19-05-2025,Reel,13,0,556,Testimonial,"Patient Testimonial of Steve Corroyer, who came from New Caledonia Island. During summit to Mt. Makalu, unfortunately fall sick and got treatment under the care of Dr. Binod Bijukachhe, Consultant Orthopedics & Spine Surgeon at Grande International Hospital. Over the course of his hospitalization, the patient experienced good improvement in his condition and shares his experience of treatment and stay."
16-05-2025,Reel,9,0,350,Educative,"आज मे १६ अर्थात राष्ट्रिय डेंगु दिवस हो ।
डेंगु अहिलेको एक गम्भीर सार्वजनिक स्वास्थ्य समस्या हो, जसले वर्षेनी धेरै नेपालीलाई प्रभावित गरिरहेको छ। यस रोगको मुख्य स्रोत एडिस जातको लामखुट्टे हो, जुन हाम्रो वरिपरि जम्मा भएको पानीमा बस्ने गर्छ। हाम्रो
साना साना प्रयासहरूले सबैलाई डेंगुबाट सुरक्षित राख्न सकिन्छ । ग्राण्डी ईन्टरनेशनल हस्पिटलका कन्सलट्यान्ट फिजिशियन डा. बिनय रेग्मीको यो महत्वपूर्ण सुझाव सुनौं। जनचेतनाको लागी सेयर गरौं !"
14-04-2025,Image,14,0,,Announcement,NA
14-04-2025,Image,5,0,,Announcement,NA
04-04-2025,Reel,7,1,582,Educative,"हामी सबैले सानै देखि दांत माझिरहेका छौं। तर के हामीले माझ्ने तरिका सहि छ? कस्तो ब्रश प्रयोग गर्ने, पेष्ट कस्तो र कतिको लिने? डेन्टल फ्लसको प्रयोग कसरी गर्ने आदि कुराहरूको बारेमा विस्तृत जानकारी सहित डेन्टल सर्जन डॉ आयुषा थापाको जानकारी मुलक यो भिड़ीयो हेरौं र जनचेतनाको लागि सेयर गरौं।"
24-03-2025,Reel,17,1,461,Educative,"विश्व क्षयरोग (टीबी) दिवस प्रत्येक वर्ष मार्च २४ मा मनाइन्छ। यो दिवस क्षयरोग (ट्यूबरक्युलोसिस - TB) सम्बन्धि जनचेतना फैलाउने उद्देश्यले मनाइन्छ, किनभने यो अझै पनि विश्वभरि एक गम्भीर स्वास्थ्य समस्या रहेको छ। मानव सभ्याताको सुरुवात संगै उत्पन्न भएको यो रोग करीव ५ हजार बर्ष पुरानो मानिन्छ । क्षयरोग के हो ? कारण, लक्षण, उपचार र रोकथामका उपायहरू के के हुन् ? ग्राण्डी अस्पतालमा कार्यरत छाती तथा फ़ोक्सो रोग विशेषज्ञ डा रबि महतको यो सन्देशमूलक भिड़ीयो हेरौं , जनचेतनाको लागी सेयर गरौं !"
23-03-2025,Post,16,0,,Training,"Elevating Awareness, Enhancing Oncological Care! Grande International Hospital organized a CME program to raise awareness and share the latest insights and strategies in cancer management. The program was conducted by Dr. Rajeeb Kumar Deo, Consultant Medical Oncologist. Together, let's work to improve cancer outcomes through education!"
20-03-2025,Reel,3,0,353,Educative,"𝐖𝐨𝐫𝐥𝐝 𝐎𝐫𝐚𝐥 𝐇𝐞𝐚𝐥𝐭𝐡 𝐃𝐚𝐲 𝟐𝟎𝟐𝟓
Our oral hygiene can lead to other health issues. Listen to Consultant Oral Maxillofacial Surgeon Dr Amit Khanal on this topic."
16-03-2025,Reel,2,0,426,Educative,विशेष गरी महिलाहरुमा देखिने प्रमुख क्यान्सरहरु के के हुन्? केहि क्यान्सरलाई खोप लगाएर रोक्न सकिन्छ भने केहिलाई समय समयमा परिक्षण गराई early stage मा पहिचान गरी निको पार्न सकिन्छ। केहि क्यान्सरलाई Endoscopy / Colonoscopy द्वारा screening गर्न सकिन्छ। कन्सलट्यान्ट मेडिकल अंकोलोजिस्ट डा राजिव कुमार देवबाट महिलाहरुमा देखिने क्यान्सर सम्बन्धि यो भिड़ीयो हेरौं र जनचेतनाको लागि सेयर गरौं।
12-03-2025,Reel,9,0,326,Educative,"𝐖𝐨𝐫𝐥𝐝 𝐊𝐢𝐝𝐧𝐞𝐲 𝐃𝐚𝐲 - 𝟐𝟎𝟐𝟓
Kidney is very sensitive organ of human body. Consultant Nephrologist and Renal Transplant Physician Dr Upendra Joshi shares his knowledge about 8 golden rules to safeguard our Kidney."
10-03-2025,Reel,5,0,487,Testimonial,"Patient Testimonial of Russell Geisner, who came from Australia and got treatment under the care of Dr. Prashant Tripathi, Consultant Internal Medicine at Grande. Over the course of his hospitalization, the patient experienced good improvement in his condition and shares his experience of treatment and stay."
09-03-2025,Image,2,0,,Announcement,"𝐒𝐩𝐞𝐜𝐢𝐚𝐥 𝐎𝐟𝐟𝐞𝐫 of
𝟐𝟑% 𝐝𝐢𝐬𝐜𝐨𝐮𝐧𝐭 𝐢𝐧 𝐒𝐜𝐫𝐞𝐞𝐧𝐢𝐧𝐠 𝐂𝐨𝐥𝐨𝐧𝐨𝐬𝐜𝐨𝐩𝐲
on the occasion of Colorectal Awareness Month - March."
09-03-2025,Reel,7,0,531,Educative,"𝐂𝐨𝐥𝐨𝐧𝐨𝐬𝐜𝐨𝐩𝐲:
ठुलो आन्द्रामा हुने विभिन्न समस्याहरु जस्तै ; दिसामा रगत आउनु, लगातार पेट दुख्नु, तौल कम हुँदै जानु, रगतको मात्रा कम हुनु, ठुलो आन्द्राको क्यान्सर आदि समस्याहरुको निदानको लागि Colonoscopy गरिन्छ। यसले समयमै समस्याको पहिचान गरि उपचार गर्न मदत पुर्याउन्छ।"
07-03-2025,Post,26,0,,Training,"This months Grande Lecture was presented today by Mr Bharat Kunwar, Chief Security Officer on""𝐓𝐡𝐞 𝐀𝐫𝐭 𝐨𝐟 𝐎𝐛𝐬𝐞𝐫𝐯𝐚𝐭𝐢𝐨𝐧"".
How the observation skill matters in our safety and security was shared by him very interestingly.
The program was greatly appreciated by all. Doctors, Nurses, Paramedics and Staffs attended the program in large number."
20-02-2025,Reel,4,0,537,Testimonial,"यो भिडियो गुल्मी जिल्ला छत्रकोट गाउंपालिका निवासी तुलसी भण्डारीको को हो ! उहाँलाई निरन्तर ढाड दुखाईको कारण दैनिक काम ब्यवहार असहज हुँदै गयो र बुटवलका केहि अस्पतालमा पुग्नु भयो, अस्पतालमा जाँच गराए पश्चात उहांको ढाडको समस्या त्यहां निको नहुने महसुस गरेर एक जना चिनजानका ब्यक्तिको सुझावका आधारमा ग्राण्डी इन्टरनेशनल हस्पिटलमा डा बिनोद बिज़ुक्छेलाई भेट्न ग्राण्डी अस्पतालमा आईपुग्नु भयो ।
स्पाइन सर्जरी पछि सामान्य जीवनमा फर्कदै गर्नु भएका उहांलाई हामिले भेट्दै गर्दा डिस्चार्ज भएर घर फर्कने तरखर गर्दै हुनुहुन्थ्यो भने छिट्टै काममा फर्कने आत्मबिस्वास देखिन्थ्यो । ग्राण्डी अस्पतालमा उपचारका क्रमममा उहाँले गर्नुभएको अनुभव हामीले जस्ताको तस्तै यहाँहरु माझ प्रस्तुत गरेका छौं । यस्तै समस्या भएका तपाईका आफ़न्तजन र चिनजानका कोहि हुनुहुन्छ भने उहांको लागि यो भीडीयो प्रेरणा दायी बन्ने छ भन्ने विश्वास गर्दछौं !"
19-02-2025,Reel,6,0,850,Announcement,"Cupid Package
Valentines Day Cupid Package is going on at Grande International Hospital. Grab the opportunity now.
Book your appointment 9801202530"
18-02-2025,Reel,8,0,564,Testimonial,"नुहाउंदा लडेर टाउकोमा चोट लागेका रौतहट निवासी परमानन्द शाह, गम्भीर अवस्थामा ग्राण्डी आउनु भएको थियो ।अत्याधुनिक प्रविधिबाट टाउको नखोलिकन कन्सलट्यान्ट इन्टरभेन्टिस डा सुभाष फुयालद्वारा उपचार पश्चात, पुर्ण रुपमा निको भए पछि आफ्नो अनुभव र अभिव्यक्ति राख्दै उनका भाई...."
17-02-2025,Post,8,0,,Educative,"𝐍𝐨𝐬𝐞 𝐁𝐥𝐞𝐞𝐝 : 𝐀 𝐂𝐨𝐦𝐦𝐨𝐧 𝐂𝐨𝐧𝐝𝐢𝐭𝐢𝐨𝐧 𝐢𝐧 𝐭𝐡𝐞 𝐂𝐨𝐥𝐝 𝐒𝐞𝐚𝐬𝐨𝐧
Words by Dr Anand Ghimire HOD/Consultant ENT, Head & Neck Surgeon
Grande International Hospital
Click the link below for full article:
https://medicosnext.com/"
16-02-2025,Post,47,0,,Visit,"Welcoming the esteemed delegates from Bureau of Medical Services, US Embassy Dr. Ben Harrell – Regional Medical Officer, Dr. Inzune K. Hwang – Medical Officer and Ms Menuka Khadka, Registered Nurse to Grande International Hospital! A fruitful exchange of ideas and collaboration for a healthier future. Together, we strive for excellence in healthcare and innovation!"
14-02-2025,Reel,23,0,867,Announcement,"𝐂𝐮𝐩𝐢𝐝 𝐏𝐚𝐜𝐤𝐚𝐠𝐞
Valentines Day Cupid Package started from today at Grande International Hospital. Grab the opportunity now.
Book your appointment 9801202530"
11-02-2025,Reel,8,0,485,Announcement,"Your healthy body is a gift to your partner. Gift your partner a Cupid Package this Valentines Day.
Buy the package for yourself and Get the second Free for your partner.
Cupid Package is going to start at Grande International Hospital from 14th of February 2025."
10-02-2025,Reel,5,0,384,Educative,"छारे रोग के हो ? कसरी लाग्छ ? कसरी जोगिने ?
छारे रोग सम्बन्धि भ्रम र यथार्थ बारे ग्राण्डी इन्टरनेशनल हस्पिटलका कन्सल्टेन्ट न्युरोलोजिस्ट डा. राजु पौडेलको सुझाव सुनौ । जनचेतनाको लागि सेयर गरौ।"
05-02-2025,Reel,9,0,,Testimonial,"ख़ोम थापा, बिगत ३ दशक देखि यातायात क्षेत्रमा आवद्द व्यवसायी हुनुहुन्छ । जीवनमा सयौं दुर्घटना देखेका र धेरैका परिवारमा सहानुभूति ब्यक्त गरेका उनको आफ्नै जीवनमा अकल्पनिय दुर्घटना पर्यो। १८ बर्षिय छोरा गम्भीर दुर्घटनामा परि ग्राण्डी अस्पताल आईपुगे, अस्पतालमा करीव १ महीनाको बसाई पछि निको भएर फर्कदैं गर्दा उनले अस्पताल बसाई र उपचार हेरचाह लगायतका बिषयमा आफना कुराहरू राखेका छन् । हामीमध्ये धेरैले सोच्दछौं कि दुर्घटना अरूको मात्र हुन्छ। तर जीवन अनिश्चित छ। आफूले चलाउने गाडीहरू सुरक्षित छन् कि छैनन्, बाटोमा हिँड्दा सावधानी अपनाइन्छ कि अपनाइँदैन, यी सबै कुरालाई गम्भीर रूपमा लिनुपर्ने उहाको बुझाई छ । बाक़ि उहाकै शब्दमा...."
